label,polid,pixid,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15
Corn,78317,78740,0.27375947368534637,0.21726720302573857,0.21697195809101744,0.27090351371885535,0.1976143730687876,0.2201677289338233,0.3040818128352241,0.49738499080050397,0.6848701353502514,0.7285661775610994,0.5725997722846357,0.3402177351306027,0.2473528783938492,0.23964200746179568,0.2427027019510293
Corn,78317,78741,0.23035062729485145,0.3105779784209625,0.19867882469164494,0.1916117462789216,0.2900849162281521,0.29882064118111035,0.29321521949648116,0.5072877389701775,0.6607957838141196,0.7236339368758806,0.5581460368065274,0.34209807249220325,0.3358965228362436,0.30813607298978946,0.31441673559390537
Corn,78317,78742,0.2891887125726658,0.2540859998072819,0.27712205979852894,0.2387025107407083,0.1992336176539233,0.2693531763212604,0.3705703375193621,0.49063078151898853,0.7195223848171917,0.7266374244321498,0.6042321073225068,0.35287068944241895,0.27530622759596635,0.28603626327055803,0.2461658007110498
Corn,78317,78743,0.3131018877159604,0.21463266263723982,0.2753067476591079,0.19207800385548596,0.20797534066740653,0.24789439486820838,0.2769114851862186,0.4622520008803427,0.6874211937119842,0.7708852092700191,0.5679154334955355,0.359574842790869,0.334044779351407,0.2561662573888821,0.33089679611959927
Corn,78317,78744,0.24076805507636836,0.22394004845269502,0.2631859391886176,0.2844552320295777,0.21791358322694213,0.24237855853803028,0.36437871737256733,0.4908997057245851,0.7510160749011918,0.8168421459144319,0.6365785549172893,0.3544898268844777,0.2660411897518239,0.300481181971498,0.2493530036476794
Corn,78317,78745,0.2375884690986553,0.22078658813949678,0.20932302694016325,0.19874282513606054,0.20109145170186413,0.3064451365700158,0.321721684757382,0.4810538116571065,0.6721098157895994,0.7257800820201927,0.6215366109613101,0.35742993523198263,0.2500516678931,0.33834569773405,0.27000978261613834
Corn,78317,78746,0.3106949357562513,0.26359257158379795,0.2387264929256191,0.25590553255160947,0.21771472825117036,0.276245128900133,0.3178227351791081,0.5872740573815736,0.7222993417342571,0.8046870166741086,0.6161268900220285,0.3637817714472621,0.27988372787467153,0.2423286778291982,0.2923172954287025
Corn,78317,78747,0.2188008364684975,0.23543234108298866,0.23636731496675978,0.17913158064457602,0.18130133406381932,0.2765120963545845,0.37229649553419236,0.6295305387114867,0.7447715956492054,0.7248802595263752,0.5786497578674673,0.36596425247135245,0.3240484484938046,0.22547369902930214,0.22765482016721292
Corn,78317,78748,0.3193433809659621,0.21597964721908738,0.2904013711061321,0.19418457024942357,0.29113579494062547,0.3152259727486301,0.39907035372991656,0.5254229404512819,0.7247524232864077,0.7599255135999343,0.6471062194432364,0.38986061592630483,0.26875807668977864,0.23682934672298067,0.2847504135435965
Corn,78317,78749,0.3154599669781855,0.21211683972756454,0.21298420170966947,0.19507212367553403,0.2123685021856889,0.3081705812472747,0.35691661627010285,0.4978258676630932,0.67943490377641,0.7398380532687052,0.5523807326794876,0.3261848967718435,0.32767240216090376,0.33000197570798895,0.3192292074639597
