pixid,noisy,label
73158,False,Corn
73159,False,Corn
73160,False,Corn
73161,False,Corn
73162,False,Corn
73163,False,Corn
73164,False,Corn
73165,False,Corn
73166,False,Corn
73167,False,Corn
73168,False,Corn
73169,False,Corn
73170,False,Corn
73171,False,Corn
73172,False,Corn
73173,False,Corn
73174,False,Corn
73175,False,Corn
73176,False,Corn
73177,False,Corn
73178,False,Corn
73179,False,Corn
73180,False,Corn
73181,False,Corn
73182,False,Corn
73183,False,Corn
73184,False,Corn
73185,False,Corn
73186,False,Corn
73187,False,Corn
73188,False,Corn
73189,False,Corn
73190,False,Corn
73191,False,Corn
73192,False,Corn
73193,False,Corn
73194,False,Corn
73195,False,Corn
73196,False,Corn
73197,False,Corn
73198,False,Corn
73199,False,Corn
73200,False,Corn
73201,False,Corn
73202,False,Corn
73203,False,Corn
73204,False,Corn
73205,False,Corn
73206,False,Corn
73207,False,Corn
73208,True,Sunflower
73209,True,Sunflower
73210,True,Sunflower
73211,True,Sunflower
73212,True,Sunflower
73213,True,Sunflower
73214,True,Sunflower
73215,True,Sunflower
73216,True,Sunflower
73217,True,Sunflower
73218,False,Corn
73219,False,Corn
73220,False,Corn
73221,False,Corn
73222,False,Corn
73223,False,Corn
73224,False,Corn
73225,False,Corn
73226,False,Corn
73227,False,Corn
73228,False,Corn
73229,False,Corn
73230,False,Corn
73231,False,Corn
73232,False,Corn
73233,False,Corn
73234,False,Corn
73235,False,Corn
73236,False,Corn
73237,False,Corn
73238,False,Corn
73239,False,Corn
73240,False,Corn
73241,False,Corn
73242,False,Corn
73243,False,Corn
73244,False,Corn
73245,False,Corn
73246,False,Corn
73247,False,Corn
73248,False,Corn
73249,False,Corn
73250,False,Corn
73251,False,Corn
73252,False,Corn
73253,False,Corn
73254,False,Corn
73255,False,Corn
73256,False,Corn
73257,False,Corn
73258,False,Corn
73259,False,Corn
73260,False,Corn
73261,False,Corn
73262,False,Corn
73263,False,Corn
73264,False,Corn
73265,False,Corn
73266,False,Corn
73267,False,Corn
73268,False,Corn
73269,False,Corn
73270,False,Corn
73271,False,Corn
73272,False,Corn
73273,False,Corn
73274,False,Corn
73275,False,Corn
73276,False,Corn
73277,False,Corn
73278,False,Corn
73279,False,Corn
73280,False,Corn
73281,False,Corn
73282,False,Corn
73283,False,Corn
73284,False,Corn
73285,False,Corn
73286,False,Corn
73287,False,Corn
73288,False,Corn
73289,False,Corn
73290,False,Corn
73291,False,Corn
73292,False,Corn
73293,False,Corn
73294,False,Corn
73295,False,Corn
73296,False,Corn
73297,False,Corn
73298,True,Sunflower
73299,True,Sunflower
73300,True,Sunflower
73301,True,Sunflower
73302,True,Sunflower
73303,True,Sunflower
73304,True,Sunflower
73305,True,Sunflower
73306,True,Sunflower
73307,True,Sunflower
73308,False,Corn
73309,False,Corn
73310,False,Corn
73311,False,Corn
73312,False,Corn
73313,False,Corn
73314,False,Corn
73315,False,Corn
73316,False,Corn
73317,False,Corn
73318,False,Corn
73319,False,Corn
73320,False,Corn
73321,False,Corn
73322,False,Corn
73323,False,Corn
73324,False,Corn
73325,False,Corn
73326,False,Corn
73327,False,Corn
73328,False,Corn
73329,False,Corn
73330,False,Corn
73331,False,Corn
73332,False,Corn
73333,False,Corn
73334,False,Corn
73335,False,Corn
73336,False,Corn
73337,False,Corn
73338,False,Corn
73339,False,Corn
73340,False,Corn
73341,False,Corn
73342,False,Corn
73343,False,Corn
73344,False,Corn
73345,False,Corn
73346,False,Corn
73347,False,Corn
73348,False,Corn
73349,False,Corn
73350,False,Corn
73351,False,Corn
73352,False,Corn
73353,False,Corn
73354,False,Corn
73355,False,Corn
73356,False,Corn
73357,False,Corn
73358,False,Corn
73359,False,Corn
73360,False,Corn
73361,False,Corn
73362,False,Corn
73363,False,Corn
