pixid,noisy,label
57447,False,Corn
57448,False,Corn
57449,False,Corn
57450,False,Corn
57451,False,Corn
57452,False,Corn
57453,False,Corn
57454,False,Corn
57455,False,Corn
57456,False,Corn
57457,False,Corn
57458,False,Corn
57459,False,Corn
57460,False,Corn
57461,False,Corn
57462,False,Corn
57463,False,Corn
57464,False,Corn
57465,False,Corn
57466,False,Corn
57467,True,Corn_Ensilage
57468,True,Corn_Ensilage
57469,True,Corn_Ensilage
57470,True,Corn_Ensilage
57471,True,Corn_Ensilage
57472,True,Corn_Ensilage
57473,True,Corn_Ensilage
57474,True,Corn_Ensilage
57475,True,Corn_Ensilage
57476,True,Corn_Ensilage
57477,False,Corn
57478,False,Corn
57479,False,Corn
57480,False,Corn
57481,False,Corn
57482,False,Corn
57483,False,Corn
57484,False,Corn
57485,False,Corn
57486,False,Corn
57487,True,Corn_Ensilage
57488,True,Corn_Ensilage
57489,True,Corn_Ensilage
57490,True,Corn_Ensilage
57491,True,Corn_Ensilage
57492,True,Corn_Ensilage
57493,True,Corn_Ensilage
57494,True,Corn_Ensilage
57495,True,Corn_Ensilage
57496,True,Corn_Ensilage
57497,True,Corn_Ensilage
57498,True,Corn_Ensilage
57499,True,Corn_Ensilage
57500,True,Corn_Ensilage
57501,True,Corn_Ensilage
57502,True,Corn_Ensilage
57503,True,Corn_Ensilage
57504,True,Corn_Ensilage
57505,True,Corn_Ensilage
57506,True,Corn_Ensilage
57507,True,Corn_Ensilage
57508,True,Corn_Ensilage
57509,True,Corn_Ensilage
57510,True,Corn_Ensilage
57511,True,Corn_Ensilage
57512,True,Corn_Ensilage
57513,True,Corn_Ensilage
57514,True,Corn_Ensilage
57515,True,Corn_Ensilage
57516,True,Corn_Ensilage
57517,True,Corn_Ensilage
57518,True,Corn_Ensilage
57519,True,Corn_Ensilage
57520,True,Corn_Ensilage
57521,True,Corn_Ensilage
57522,True,Corn_Ensilage
57523,True,Corn_Ensilage
57524,True,Corn_Ensilage
57525,True,Corn_Ensilage
57526,True,Corn_Ensilage
57527,True,Corn_Ensilage
57528,True,Corn_Ensilage
57529,True,Corn_Ensilage
57530,True,Corn_Ensilage
57531,True,Corn_Ensilage
57532,True,Corn_Ensilage
57533,True,Corn_Ensilage
57534,True,Corn_Ensilage
57535,True,Corn_Ensilage
57536,True,Corn_Ensilage
57537,True,Corn_Ensilage
57538,True,Corn_Ensilage
57539,True,Corn_Ensilage
57540,True,Corn_Ensilage
57541,True,Corn_Ensilage
57542,True,Corn_Ensilage
57543,True,Corn_Ensilage
57544,True,Corn_Ensilage
57545,True,Corn_Ensilage
57546,True,Corn_Ensilage
57547,True,Corn_Ensilage
57548,True,Corn_Ensilage
57549,True,Corn_Ensilage
57550,True,Corn_Ensilage
57551,True,Corn_Ensilage
57552,True,Corn_Ensilage
57553,True,Corn_Ensilage
57554,True,Corn_Ensilage
57555,True,Corn_Ensilage
57556,True,Corn_Ensilage
57557,False,Corn
57558,False,Corn
57559,False,Corn
57560,False,Corn
57561,False,Corn
57562,False,Corn
57563,False,Corn
57564,False,Corn
57565,False,Corn
57566,False,Corn
57567,True,Corn_Ensilage
57568,True,Corn_Ensilage
57569,True,Corn_Ensilage
57570,True,Corn_Ensilage
57571,True,Corn_Ensilage
57572,True,Corn_Ensilage
57573,True,Corn_Ensilage
57574,True,Corn_Ensilage
57575,True,Corn_Ensilage
57576,True,Corn_Ensilage
57577,False,Corn
57578,False,Corn
57579,False,Corn
57580,False,Corn
57581,False,Corn
57582,False,Corn
57583,False,Corn
57584,False,Corn
57585,False,Corn
57586,False,Corn
57587,False,Corn
57588,False,Corn
57589,False,Corn
57590,False,Corn
57591,False,Corn
57592,False,Corn
57593,False,Corn
57594,False,Corn
57595,False,Corn
57596,False,Corn
57597,False,Corn
57598,False,Corn
57599,False,Corn
57600,False,Corn
57601,False,Corn
57602,False,Corn
57603,False,Corn
57604,False,Corn
57605,False,Corn
57606,False,Corn
57607,True,Corn_Ensilage
57608,True,Corn_Ensilage
57609,True,Corn_Ensilage
57610,True,Corn_Ensilage
57611,True,Corn_Ensilage
57612,True,Corn_Ensilage
57613,True,Corn_Ensilage
57614,True,Corn_Ensilage
57615,True,Corn_Ensilage
57616,True,Corn_Ensilage
57617,False,Corn
57618,False,Corn
57619,False,Corn
57620,False,Corn
57621,False,Corn
57622,False,Corn
57623,False,Corn
57624,False,Corn
57625,False,Corn
57626,False,Corn
57627,True,Corn_Ensilage
57628,True,Corn_Ensilage
57629,True,Corn_Ensilage
57630,True,Corn_Ensilage
57631,True,Corn_Ensilage
57632,True,Corn_Ensilage
57633,True,Corn_Ensilage
57634,True,Corn_Ensilage
57635,True,Corn_Ensilage
57636,True,Corn_Ensilage
57637,True,Corn_Ensilage
57638,True,Corn_Ensilage
57639,True,Corn_Ensilage
57640,True,Corn_Ensilage
57641,True,Corn_Ensilage
57642,True,Corn_Ensilage
57643,True,Corn_Ensilage
57644,True,Corn_Ensilage
57645,True,Corn_Ensilage
57646,True,Corn_Ensilage
57647,False,Corn
57648,False,Corn
57649,False,Corn
57650,False,Corn
57651,False,Corn
57652,False,Corn
57653,False,Corn
57654,False,Corn
57655,False,Corn
57656,False,Corn
57657,False,Corn
57658,False,Corn
57659,False,Corn
57660,False,Corn
57661,False,Corn
57662,False,Corn
57663,False,Corn
57664,False,Corn
57665,False,Corn
57666,False,Corn
57667,True,Corn_Ensilage
57668,True,Corn_Ensilage
57669,True,Corn_Ensilage
57670,True,Corn_Ensilage
57671,True,Corn_Ensilage
57672,True,Corn_Ensilage
57673,True,Corn_Ensilage
57674,True,Corn_Ensilage
57675,True,Corn_Ensilage
57676,True,Corn_Ensilage
57677,True,Corn_Ensilage
57678,True,Corn_Ensilage
57679,True,Corn_Ensilage
57680,True,Corn_Ensilage
57681,True,Corn_Ensilage
57682,True,Corn_Ensilage
57683,True,Corn_Ensilage
57684,True,Corn_Ensilage
57685,True,Corn_Ensilage
57686,True,Corn_Ensilage
57687,True,Corn_Ensilage
57688,True,Corn_Ensilage
57689,True,Corn_Ensilage
57690,True,Corn_Ensilage
57691,True,Corn_Ensilage
57692,False,Corn
57693,False,Corn
57694,False,Corn
57695,False,Corn
57696,False,Corn
57697,False,Corn
57698,False,Corn
57699,False,Corn
57700,False,Corn
57701,False,Corn
57702,False,Corn
57703,False,Corn
57704,False,Corn
57705,False,Corn
57706,False,Corn
57707,False,Corn
57708,False,Corn
57709,False,Corn
57710,False,Corn
57711,False,Corn
57712,False,Corn
57713,False,Corn
57714,False,Corn
57715,False,Corn
57716,False,Corn
57717,False,Corn
57718,False,Corn
57719,False,Corn
57720,False,Corn
57721,False,Corn
57722,False,Corn
57723,False,Corn
57724,False,Corn
57725,False,Corn
57726,False,Corn
