label,polid,pixid,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15
Corn,91869,90798,0.2996082693653041,0.24809991211421475,0.2467613666779448,0.174861326082016,0.2576117873975224,0.30486579365226696,0.5530653660527804,0.7450388693388497,0.8324466316413741,0.8781116342511259,0.689145338443138,0.3880515023579482,0.2762880131814119,0.21888085029062557,0.2750075945841598
Corn,91869,90799,0.2754060050759349,0.2938351740329282,0.25080692399350674,0.19213598631886453,0.23875054153063752,0.32535250009925815,0.4884162865237176,0.7844885503161183,0.8934957235301749,0.7820037062798121,0.6799354202851604,0.3938461527764864,0.22925117872443757,0.28276805870888666,0.30827008777699644
Corn,91869,90800,0.23703178972284814,0.24034747234529458,0.1741868617510257,0.16813439355378862,0.20138655997847021,0.30396646685331674,0.5477677978936291,0.7536617558710151,0.9059246444764519,0.8192020300740964,0.6441859391317678,0.40319446347804333,0.27094456667800276,0.28932993671597845,0.23841452279863243
Corn,91869,90801,0.2085316874446603,0.1883542194533805,0.17146253639536663,0.16539356089417906,0.18757998348629196,0.277862571409986,0.47501922073210306,0.7222772746468329,0.9107430398945913,0.8668580764833639,0.631379283494826,0.319793646977837,0.23859127168876224,0.2206835902796528,0.261007578802474
Corn,91869,90802,0.30728085008854683,0.2893901065653,0.2185198131058278,0.24888590417487372,0.2527754545776356,0.26316356201985697,0.47730553608010096,0.805833756853285,0.8127566252643706,0.8908470660106654,0.5904422037992213,0.32893502536670083,0.21633427102377445,0.21953899594737583,0.26094194442490853
Corn,91869,90803,0.2897410371009199,0.25842319082476817,0.19882746498250398,0.1931018522460417,0.25887659526777157,0.2876759413874576,0.4374857975196228,0.7710515585645293,0.8063033886436091,0.8859022321418857,0.6332701980866913,0.33281536232324094,0.24324572589594848,0.2133652219839868,0.2628159445878608
Corn,91869,90804,0.30392273572513134,0.2639493767528312,0.17537176369952046,0.17729174207580317,0.17977226333059457,0.24306074999900348,0.46868897155331324,0.7072468738067905,0.8423556124542899,0.8079954263254543,0.7240102656541479,0.39741504568946573,0.28169982933883214,0.28763148419779533,0.2923071495885141
Corn,91869,90805,0.26930204449735123,0.20553562177751877,0.1908101030647877,0.1817028385856731,0.23029225488000057,0.29532582825172177,0.567677923866967,0.7480997806280338,0.8413271725148455,0.8251490965668167,0.6243739105775631,0.2884396885527047,0.23188565853779303,0.28551391652347513,0.26261436193238247
Corn,91869,90806,0.2159736813649494,0.195827482655306,0.2018010673091265,0.183660294028958,0.18911259579633224,0.3523430797351522,0.5461086098011263,0.772189847174025,0.9122213595682237,0.802260300083307,0.6648595946930029,0.33784520544799407,0.26129249041484204,0.29057957828828646,0.26127763067478355
Corn,91869,90807,0.22924491894322288,0.22920222180728653,0.22480908244356998,0.18601710766011492,0.26659763716031226,0.255832185937669,0.4976887603297871,0.8176226365904697,0.8047476262115749,0.8197192092586214,0.651385390088911,0.39888153103886403,0.21314640482973535,0.2867776142397401,0.3156787808009061
